administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Joe Biden,Tennessee v. Cardona,2024-04-30,Civil Rights,Gender Identity (Title IX),U.S. Department of Education,adverse_tro_or_injunction; adverse_merits_or_partial_merits,Local Injunction Issued,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,24-05588,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.04.30-Tennessee-v.-Cardona-E.D.-Ky.-Complaint.pdf,"The district court enjoined the challenged rules in June 2024. The federal defendants appealed, but that was mooted after the district court granted summary judgment to the plaintiffs.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,"Texas v. Bureau of Alcohol, Tobacco, Firearms, and Explosives",2024-05-01,Civil Rights,Gun Policy,"Bureau of Alcohol, Tobacco, Firearms and Explosives (DOJ), U.S. Department of Justice",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,24-10612,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.01-Texas-v.-Bureau-of-Alcohol-Tobacco-Firearms-and-Explosives-N.D.-Tex.-Complaint.pdf,"The district court issued a preliminary injunction enjoining enforcement of the rule as applied to the plaintiff states in June 2024. The federal government has appealed to the 5th Cir., which scheduled oral argument for April 2025.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Arkansas v. U.S. Department of Education,2024-05-07,Civil Rights,Title IX (Gender Identity),U.S. Department of Education,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,24-02921,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.07-Arkansas-v.-U.S.-Department-of-Education-E.D.-Mo.-Complaint.pdf,"In July 2024, the district court granted a preliminary injunction as applied to the plaintiff states. The federal defendants appealed to the 8th Circuit, which placed the case in abeyance and then dismissed the case following agreement of all parties.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,North Dakota v. EPA,2024-05-08,Environment,Greenhouse Gas Emission Standards for Power Plants,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested or No Judicial Action),Case Pending,"Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,24-01119,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.08-North-Dakota-v.-EPA-D.C.-Cir.-Petition-for-Review.pdf,The parties have filed their respective opening briefs.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. EEOC,2024-05-13,Civil Rights,Abortion,U.S. Equal Employment Opportunity Commission,adverse_tro_or_injunction; adverse_merits_or_partial_merits,Local Injunction Issued,"Success, Merits Decision","Case Active, Original Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,2:24-cv-00629,(2024.06.17) Louisiana v. EEOC [W.D. La.] - Memorandum Order | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.13-Louisiana-v.-EEOC-W.D.-La.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.17-Louisiana-v.-EEOC-W.D.-La.-Memorandum-Order.pdf,"The district court granted a preliminary injunction to the plaintiff states, and in May 2025 granted the states partial summary judgment, vacating the rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kansas v. U.S. Department of Education,2024-05-14,Civil Rights,Transgender Rights,"U.S. Department of Education, U.S. Department of Justice",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,24-03097,(2024.07.02) Kansas v. U.S. Department of Education [D. Kan.] - Memorandum and Order Granting Preliminary Injunction | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.14-Kansas-v.-U.S.-Department-of-Education-D.-Kan.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.07.02-Kansas-v.-U.S.-Department-of-Education-D.-Kan.-Memorandum-and-Order-Granting-Preliminary-Injunction.pdf,"The district court issued a preliminary injunction in July 2024. The federal defendants appealed to the Tenth Circuit, but the parties voluntarily dismissed the appeal in March 2025. The district court has since denied summary judgment to the plaintiffs.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Iowa v. Council on Environmental Quality,2024-05-21,Environment,National Environmental Policy Act,Council on Environmental Quality (EOP),adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),"Success, Merits Decision","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,25-01641 25-01705,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.21-Iowa-v.-Council-on-Environmental-Quality-D.N.D.-Complaint.pdf,"The court granted summary judgment to the plaintiff states, striking down the challenged rule. Several environmental group intervenors have appealed to the Eighth Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kansas v. U.S. Attorney General,2024-05-23,Civil Rights,Gun Policy,"U.S. Department of Justice, Bureau of Alcohol, Tobacco, Firearms and Explosives (DOJ)",state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Appellate Court, Stayed or Held in Abeyance",Environment / energy regulation,No obvious EO link in AG metadata,24-03101,(2024.07.10) Kansas v. U.S. Attorney General [D. Kan.] - Memorandum and Order Denying Preliminary Injunction | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.23-Kansas-v.-U.S.-Attorney-General-D.-Kan.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.07.10-Kansas-v.-U.S.-Attorney-General-D.-Kan.-Memorandum-and-Order-Denying-Preliminary-Injunction.pdf,"The plaintiffs have appealed the denial of their motion for a preliminary injunction to the Tenth Circuit, which is currently held in abeyance. Meanwhile, the district court has stayed the case.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Tennessee v. Becerra,2024-05-30,Civil Rights,Gender Transition Care Under the ACA,"U.S. Department of Health and Human Services, Centers for Medicare and Medicaid Services (HHS)",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,24-60462,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.05.30-Tennessee-v.-Becerra-S.D.-Miss.-Complaint.pdf,"In July 2024, the court issued a nationwide preliminary injunction. The federal defendants appealed to the Fifth Circuit. Following the change of administrations, however, the parties agreed to dismiss the appeal in March 2025. The plaintiffs have filed for summary judgment in the district court.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. U.S. Department of Labor,2024-06-03,Labor,Overtime Compensation Rules,U.S. Department of Labor,adverse_tro_or_injunction; adverse_merits_or_partial_merits,Local Injunction Issued,"Success, Merits Decision","Case Active, Original Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,4:24-cv-00499,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.03-Texas-v.-U.S.-Department-of-Labor-E.D.-Tex.-Complaint.pdf,"The district court granted Texas's preliminary injunction motion, and in November 2024 granted summary judgment to the plaintiffs.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. Becerra,2024-06-10,Civil Rights,Gender Transition Care Under the ACA,"Centers for Medicare and Medicaid Services (HHS), U.S. Department of Health and Human Services",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,24-40568,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.10-Texas-v.-Becerra-E.D.-Tex.-Complaint.pdf,"The district court issued a national injunction blocking the policy in July 2024. The defendants appealed to the Fifth Circuit, but dropped the appeal following the change in administrations. The case is currently stayed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kansas v. U.S. Department of Labor,2024-06-11,Labor,Collective Bargaining (Agricultural Workers),U.S. Department of Labor,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Immigration / border policy,No obvious EO link in AG metadata,2:24-cv-00076,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.11-Kansas-v.-U.S.-Department-of-Labor-S.D.-Ga.-Complaint.pdf,The district court issued a preliminary injunction for the state plaintiffs. Cross-motions for summary judgment ae now pending.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Haaland,2024-06-17,Energy,Oil and Gas Production,U.S. Department of the Interior,state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Environment / energy regulation,No obvious EO link in AG metadata,24-30658,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.14-Louisiana-v.-Haaland-W.D.-La.-Complaint.pdf,The court denied the states' motion for preliminary injunction.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kansas v. United States,2024-08-08,Immigration,Aliens' Eligibility for Public Health Benefits,Centers for Medicare and Medicaid Services (HHS),adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Immigration / border policy,No obvious EO link in AG metadata,24-03521,(2024.12.06) Kansas v. United States [D.N.D.] - Order Granting Preliminary Injunction and Stay | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.08.08-Kansas-v.-United-States-D.N.D.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/12/2024.12.06-Kansas-v.-United-States-D.N.D.-Order-Granting-Preliminary-Injunction-and-Stay.pdf,"In December 2024, the district court granted the plaintiffs' preliminary injunction. The federal defendants have appealed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. U.S. Department of Homeland Security,2024-08-23,Immigration,Parole in Place Program,"U.S. Department of Homeland Security, U.S. Citizenship and Immigration Services (DHS), U.S. Customs and Border Protection (DHS), U.S. Immigration and Customs Enforcement (DHS), Office of Management and Budget (EoP)",adverse_tro_or_injunction; adverse_merits_or_partial_merits,Local Injunction Issued,"Success, Merits Decision","Case Active, Original Court, Appeal Period Open from Final Court Decision",Immigration / border policy,Possible presidential-directive/OMB-related,24-40571,(2024.11.07) Texas v. U.S. Department of Homeland Security [E.D. Tex.] - Memorandum of Decision (2024.11.07) Texas v. U.S. Department of Homeland Security [E.D. Tex.] - Final Judgment | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.08.23-Texas-v.-U.S.-Department-of-Homeland-Security-ED.-Tex.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.11.07-Texas-v.-U.S.-Department-of-Homeland-Security-E.D.-Tex.-Memorandum-of-Decision.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.11.07-Texas-v.-U.S.-Department-of-Homeland-Security-E.D.-Tex.-Final-Judgment.pdf,"The court issued a temporary restraining order for the plaintiffs in August 2024, and held that the program exceeded agency authority in November 2024.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
